,pursuer,victim,coefficient
367,AE0390BX,PGS92LN,0.6666666666666666
368,OB610UE,AE8930HO,0.6666666666666666
369,AE8005BX,IQPA0,0.6666666666666666
370,AE6130HI,61301HI,0.6666666666666666
371,AE3553BB,AE6888HP,0.6666666666666666
372,AE6975IH,AE5077KA,0.6666666666666666
373,AE2375,AE2319CA,0.6666666666666666
374,AE2045KB,AE4953KA,0.6666666666666666
375,10040PA,01101IH,0.6666666666666666
376,AE2203AB,AE4173IK,0.6666666666666666
377,AE9570AA,55021AH,0.6666666666666666
378,AE2149ET,AE0267BE,0.6666666666666666
379,AE5749KA,AE6200CE,0.6666666666666666
380,AE1333CT,AE8902AB,0.6666666666666666
381,AE1335CE,AE8271IO,0.6666666666666666
382,AE7427EO,AE9913IP,0.6666666666666666
383,TAKC0,TAKCU2,0.6666666666666666
384,AE8524AA,AE6469IX,0.6666666666666666
385,AA9628BC,AE9099EP,0.6666666666666666
386,AE9584,AE4499HO,0.6666666666666666
387,AE4166,LAE16,0.6666666666666666
388,AE1432IC,AE3703EH,0.6666666666666666
389,AE0191,AE6059,0.6666666666666666
390,AE9419AA,AE2723EI,0.6666666666666666
391,AE8974HX,MAE9002,0.6666666666666666
392,AE2740AA,AE5240BK,0.6666666666666666
393,AE7775,AE7775HE,0.6666666666666666
394,2712,AE4423HI,0.6666666666666666
395,AE3992,EO228,0.6666666666666666
396,AE0179,AE9460CI,0.6666666666666666
397,AE5240IP,AE7284KC,0.6666666666666666
398,AE1409HA,AE2013AT,0.6666666666666666
399,AE7957HE,KFF410,0.6666666666666666
400,AE3525KC,AE2962IK,0.6666666666666666
401,AE6106AA,AE6106,0.6666666666666666
402,AE1333CT,AE3097HB,0.6666666666666666
403,AE8358CP,AE5637KC,0.6666666666666666
404,AE0091IH,AE9292HC,0.6666666666666666
405,AE1001EX,AE8347CP,0.6666666666666666
406,AE1467AB,AE0132AA,0.6666666666666666
407,AE3029,AE5029,0.6666666666666666
408,AE8163CK,AE276KA,0.6666666666666666
409,AE2378AB,BA6994BK,0.6666666666666666
410,AE5104EP,AE2434KB,0.6666666666666666
411,AFI444,EO880,0.6666666666666666
412,KE3333AC,AE1149HT,0.6666666666666666
413,AE4111,AE0112,0.6666666666666666
414,AE2445AB,AE2445AE,0.6666666666666666
415,AH2885KC,AE7213IH,0.6666666666666666
416,AE8712BE,AE5955EK,0.6666666666666666
417,AE6248HT,AE628HT,0.6666666666666666
418,AE7407IK,AE2199IP,0.6666666666666666
419,AE0715AB,BC8409EE,0.6666666666666666
420,AE1098AE,AE0133AE,0.6666666666666666
421,AE1098AE,AE5371KB,0.6666666666666666
422,BH0967EO,AE2374BI,0.6666666666666666
423,AE2734IB,AE8780CE,0.6666666666666666
424,AE9910IT,AE3203BB,0.6666666666666666
425,AE7371KA,AE6985EH,0.6666666666666666
426,AE0440BB,AE8535HA,0.6666666666666666
427,AE8507HT,AEE8507,0.6666666666666666
428,AE8865HO,AE0171EC,0.6666666666666666
429,AP8879BT,AE6200HX,0.6666666666666666
430,AE6032EI,AEO989,0.6666666666666666
431,AE3629HX,AA2580TX,0.6666666666666666
432,AE6674KB,AE6653KB,0.6666666666666666
433,AE5679IC,AE3219IE,0.6666666666666666
434,AE0628,AE5071HB,0.6666666666666666
